Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee
UFC Fight Night: Whittaker vs. De Ridder,Muslim Salikhov - Carlos Leal,Muslim Salikhov,Welterweight Bout,W,1,3 of 9,3 of 9,0 of 0,0,0,0:00,1 of 4,1 of 4,1 of 1,3 of 9,0 of 0,0 of 0,KO/TKO,"Time:
        
        0:42","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,Muslim Salikhov - Carlos Leal,Carlos Leal,Welterweight Bout,L,0,5 of 9,5 of 9,0 of 0,0,0,0:00,5 of 9,0 of 0,0 of 0,5 of 8,0 of 1,0 of 0,KO/TKO,"Time:
        
        0:42","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,Mohammad Yahya - Steven Nguyen,Mohammad Yahya,Featherweight Bout,L,0,57 of 151,60 of 154,0 of 4,0,0,0:05,41 of 126,14 of 21,2 of 4,57 of 151,0 of 0,0 of 0,KO/TKO,"Time:
        
        5:00","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,Mohammad Yahya - Steven Nguyen,Steven Nguyen,Featherweight Bout,W,6,92 of 174,108 of 194,0 of 0,0,0,2:43,76 of 156,4 of 4,12 of 14,50 of 111,7 of 7,35 of 56,KO/TKO,"Time:
        
        5:00","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,Robert Whittaker - Reinier de Ridder,Robert Whittaker,Middleweight Bout,L,1,66 of 142,70 of 146,0 of 0,0,0,0:36,62 of 135,4 of 7,0 of 0,51 of 123,4 of 5,11 of 14,Decision - Split,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard
UFC Fight Night: Whittaker vs. De Ridder,Robert Whittaker - Reinier de Ridder,Reinier de Ridder,Middleweight Bout,W,0,67 of 145,192 of 282,2 of 15,0,0,9:06,41 of 105,26 of 40,0 of 0,54 of 128,9 of 11,4 of 6,Decision - Split,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard
UFC Fight Night: Whittaker vs. De Ridder,Petr Yan - Marcus McGhee,Petr Yan,Bantamweight Bout,W,0,81 of 146,130 of 202,1 of 3,0,0,3:11,63 of 122,10 of 12,8 of 12,58 of 114,23 of 32,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,Petr Yan - Marcus McGhee,Marcus McGhee,Bantamweight Bout,L,0,64 of 170,66 of 173,0 of 4,0,0,0:30,44 of 128,8 of 18,12 of 24,62 of 165,2 of 5,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Daniel Movahedi
UFC Fight Night: Whittaker vs. De Ridder,Shara Magomedov - Marc-Andre Barriault,Shara Magomedov,Middleweight Bout,W,0,93 of 142,103 of 153,0 of 1,0,0,0:57,42 of 82,27 of 33,24 of 27,58 of 93,30 of 39,5 of 10,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Shara Magomedov - Marc-Andre Barriault,Marc-Andre Barriault,Middleweight Bout,L,0,39 of 77,60 of 100,2 of 6,0,0,4:30,24 of 54,13 of 19,2 of 4,21 of 56,18 of 21,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Ibo Aslan - Billy Elekana,Ibo Aslan,Light Heavyweight Bout,L,0,28 of 78,29 of 80,0 of 0,0,0,0:00,10 of 57,8 of 10,10 of 11,28 of 78,0 of 0,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
UFC Fight Night: Whittaker vs. De Ridder,Ibo Aslan - Billy Elekana,Billy Elekana,Light Heavyweight Bout,W,0,35 of 68,35 of 68,0 of 3,0,0,0:00,18 of 46,17 of 21,0 of 1,35 of 68,0 of 0,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jim Perdios
